ὁ,the
καί,"and, even, also, namely"
αὐτός,"he, she, it, they, them, same"
σύ,you
δέ,"but, on the other hand, and"
ἐν,"in, on, among"
ἐγώ,I
εἰμί,"I am, exist"
λέγω,"I say, speak"
εἰς,"into, in, among, till, for"
οὐ,"no, not"
ὅς,"who, which, what, that"
οὗτος,"this, he, she, it"
θεός,"God, a god"
ὅτι,"that, since, because"
πᾶς,"all, the whole, every kind of"
γάρ,for
μή,"not, lest"
ἐκ,"from out, out from among, from"
Ἰησοῦς,Jesus
ἐπί,"on, to, against, on the basis of, at"
κύριος,"lord, Lord, master, sir"
ἔχω,"I have, hold, possess"
πρός,"to, towards, with"
γίνομαι,"I come into being, am born"
διά,"through, on account of"
ἵνα,"in order that, so that"
ἀπό,"from, away from"
ἀλλά,"but, except"
ἔρχομαι,"I come, go"
ποιέω,"I do, make"
τίς,"who, which, what"
ἄνθρωπος,"a man, one of the human race"
Χριστός,"anointed, the Messiah, the Christ"
τις,"any one, some one"
ὡς,"as, like as, how, while, so that"
εἰ,if
οὖν,"therefore, then"
ὁράω,"I see, look upon, experience"
μετά,"with, after"
κατά,"down from, against, according to, throughout, during"
ἀκούω,"I hear, listen"
δίδωμι,"I offer, give"
πολύς,"much, many, often"
πατήρ,"father, Father, ancestor"
ἡμέρα,a day
πνεῦμα,"wind, breath, spirit"
υἱός,"a son, descendent"
ἤ,"or, than"
ἀδελφός,a brother
εἷς,one
ἑαυτοῦ,"himself, herself, itself"
περί,"about, concerning, around"
ἐάν,if
λόγος,"a word, speech, divine utterance, analogy"
λαλέω,"I speak, say"
οἶδα,"I know, remember"
οὐρανός,"the sky, the heaven"
μαθητής,"a learner, disciple, pupil"
λαμβάνω,"I receive, take"
γῆ,"the earth, soil, land"
ἐκεῖνος,"that, that one there, yonder"
πίστις,"faith, belief, trust"
πιστεύω,"I believe, have faith in"
μέγας,"large, great"
ἅγιος,"set apart, holy, sacred"
ἀποκρίνομαι,"I answer, reply"
οὐδείς,"no one, none, nothing"
ὄνομα,"name, character, reputation"
γινώσκω,"I come to know, learn, realize"
ὑπό,"by, under, about"
ἀνήρ,"a male human being, a man"
ἐξέρχομαι,"I go out, come out"
τέ,"and, both"
γυνή,"a woman, wife, my lady"
δύναμαι,"I am powerful, am able"
θέλω,"I will, wish, desire"
οὕτω(ς),"thus, so, in this manner"
ἰδού,See! Lo! Behold! Look!
Ἰουδαῖος,Jewish
παρά,"from, in the presence of"
νόμος,"a law, the Mosaic Law"
εἰσέρχομαι,"I go in, come in, enter"
γράφω,I write
κόσμος,"the world, universe"
καθώς,"just as, as"
μέν,"truly, indeed"
χείρ,a hand
εὑρίσκω,I find
ἄγγελος,"an angel, messenger"
ὄχλος,a crowd
ἁμαρτία,a sin
ἄν,an untranslatable word that makes a statement contingent
ἔργον,"work, labor, action, deed"
δόξα,"honor, renown, glory splendor"
πόλις,a city
βασιλεία,"kingship, sovereignty, authority, rule, kingdom"
ἔθνος,"a race, people, the Gentiles"
τότε,then
Παῦλος,Paul
ἐσθίω,I eat
καρδία,"the heart, inner life, intention"
Πέτρος,Peter
χάρις,"grace, favor, kindness"
ἄλλος,"other, another, different"
ἵστημι,"I cause to stand, stand"
πρῶτος,"first, before"
ὑπέρ,"in behalf of, above"
πορεύομαι,"I travel, journey, go"
καλέω,"I call, invite, name"
σάρξ,"flesh, body"
νῦν,"now, already, at present"
ἕως,"until, as far as"
ὅστις,"whosoever, whichsoever, whatsoever"
προφήτης,"a prophet, poet"
ἀγαπάω,I love
ἐγείρω,"I wake, arouse, raise up"
ἀφίημι,"I send away, release, remit, forgive, permit"
σῶμα,"body, flesh"
οὐδέ,"neither, nor, not even"
λαός,"a people, the crowd"
ζάω,I live
φωνή,"a sound, noise, voice"
πάλιν,"again, further, on the other hand"
δέω,I bind
Ἰωάννης,John
δύο,two
ζωή,life
βλέπω,"I look, see"
ἀποστέλλω,"I send forth, send, send away, dismiss"
σύν,with
ἀμήν,"verily, truly, amen, so let it be"
νεκρός,"dead, a corpse"
δοῦλος,a male slave
ὅταν,"when, whensoever"
ἀρχιερεύς,"high priest, chief priest"
αἰών,"an age, a cycle of time"
βάλλω,"I cast, throw, rush, put, place, drop"
θάνατος,death
δύναμις,"might, power, marvelous works"
παραδίδωμι,"I hand over, deliver, betray"
μένω,"I remain, abide"
ζητέω,"I seek, search for, desire"
ἀπέρχομαι,"I come or go away from, depart, return"
ἀγάπη,love
βασιλεύς,"a king, ruler, emperor"
ἐκκλησία,"an assembly, congregation, church"
κρίνω,"I judge, decide, think good"
ἴδιος,"one's own, private, personal"
οἶκος,"a house, household"
ὅσος,"how much, how great, how many"
ἀποθνῄσκω,"I am dying, am about to die"
μόνος,"only, solitary, desolate"
μέλλω,I am about to
ἀλήθεια,truth
